key,nearest_market_plz,nearest_market_city,nearest_market_name
01067,01139,Dresden,Handelsmarkt Dresden
01069,01139,Dresden,Handelsmarkt Dresden
01097,01139,Dresden,Handelsmarkt Dresden
01099,01139,Dresden,Handelsmarkt Dresden
01108,01139,Dresden,Handelsmarkt Dresden
01109,01139,Dresden,Handelsmarkt Dresden
01127,01139,Dresden,Handelsmarkt Dresden
01129,01139,Dresden,Handelsmarkt Dresden
01139,01139,Dresden,Handelsmarkt Dresden
01156,01139,Dresden,Handelsmarkt Dresden
01157,01139,Dresden,Handelsmarkt Dresden
01159,01139,Dresden,Handelsmarkt Dresden
01169,01139,Dresden,Handelsmarkt Dresden
01187,01139,Dresden,Handelsmarkt Dresden
01189,01139,Dresden,Handelsmarkt Dresden
01217,01139,Dresden,Handelsmarkt Dresden
01219,01139,Dresden,Handelsmarkt Dresden
01237,01139,Dresden,Handelsmarkt Dresden
01239,01139,Dresden,Handelsmarkt Dresden
01257,01139,Dresden,Handelsmarkt Dresden
01259,01139,Dresden,Handelsmarkt Dresden
01277,01139,Dresden,Handelsmarkt Dresden
01279,01139,Dresden,Handelsmarkt Dresden
01307,01139,Dresden,Handelsmarkt Dresden
01309,01139,Dresden,Handelsmarkt Dresden
01324,01139,Dresden,Handelsmarkt Dresden
01326,01139,Dresden,Handelsmarkt Dresden
01328,01139,Dresden,Handelsmarkt Dresden
01445,01139,Dresden,Handelsmarkt Dresden
01454,01139,Dresden,Handelsmarkt Dresden
01458,01139,Dresden,Handelsmarkt Dresden
01465,01139,Dresden,Handelsmarkt Dresden
01468,01139,Dresden,Handelsmarkt Dresden
01471,01139,Dresden,Handelsmarkt Dresden
01477,01139,Dresden,Handelsmarkt Dresden
01558,01139,Dresden,Handelsmarkt Dresden
01561,01139,Dresden,Handelsmarkt Dresden
01587,01139,Dresden,Handelsmarkt Dresden
01589,01139,Dresden,Handelsmarkt Dresden
01591,01139,Dresden,Handelsmarkt Dresden
01594,01139,Dresden,Handelsmarkt Dresden
01609,01139,Dresden,Handelsmarkt Dresden
01612,01139,Dresden,Handelsmarkt Dresden
01616,01139,Dresden,Handelsmarkt Dresden
01619,01139,Dresden,Handelsmarkt Dresden
01623,01139,Dresden,Handelsmarkt Dresden
01640,01139,Dresden,Handelsmarkt Dresden
01662,01139,Dresden,Handelsmarkt Dresden
01665,01139,Dresden,Handelsmarkt Dresden
01683,01139,Dresden,Handelsmarkt Dresden
01689,01139,Dresden,Handelsmarkt Dresden
01705,01139,Dresden,Handelsmarkt Dresden
01723,01139,Dresden,Handelsmarkt Dresden
01728,01139,Dresden,Handelsmarkt Dresden
01731,01139,Dresden,Handelsmarkt Dresden
01734,01139,Dresden,Handelsmarkt Dresden
01737,01139,Dresden,Handelsmarkt Dresden
01738,01139,Dresden,Handelsmarkt Dresden
01744,01139,Dresden,Handelsmarkt Dresden
01762,01139,Dresden,Handelsmarkt Dresden
01768,01139,Dresden,Handelsmarkt Dresden
01773,01139,Dresden,Handelsmarkt Dresden
01774,01139,Dresden,Handelsmarkt Dresden
01776,01139,Dresden,Handelsmarkt Dresden
01778,01139,Dresden,Handelsmarkt Dresden
01796,01139,Dresden,Handelsmarkt Dresden
01809,01139,Dresden,Handelsmarkt Dresden
01814,02625,Bautzen,Handelsmarkt Bautzen
01816,01139,Dresden,Handelsmarkt Dresden
01819,01139,Dresden,Handelsmarkt Dresden
01824,01139,Dresden,Handelsmarkt Dresden
01825,01139,Dresden,Handelsmarkt Dresden
01829,01139,Dresden,Handelsmarkt Dresden
01833,01139,Dresden,Handelsmarkt Dresden
01844,02625,Bautzen,Handelsmarkt Bautzen
01847,01139,Dresden,Handelsmarkt Dresden
01848,02625,Bautzen,Handelsmarkt Bautzen
01855,02625,Bautzen,Handelsmarkt Bautzen
01877,02625,Bautzen,Handelsmarkt Bautzen
01896,01139,Dresden,Handelsmarkt Dresden
01900,01139,Dresden,Handelsmarkt Dresden
01904,02625,Bautzen,Handelsmarkt Bautzen
01906,02625,Bautzen,Handelsmarkt Bautzen
01909,02625,Bautzen,Handelsmarkt Bautzen
01917,02625,Bautzen,Handelsmarkt Bautzen
01920,02625,Bautzen,Handelsmarkt Bautzen
01936,01139,Dresden,Handelsmarkt Dresden
01945,01139,Dresden,Handelsmarkt Dresden
01968,02625,Bautzen,Handelsmarkt Bautzen
01979,01139,Dresden,Handelsmarkt Dresden
01983,15907,Lübben (Spreewald),Handelsmarkt Lübben (Spreewald)
01987,01139,Dresden,Handelsmarkt Dresden
01990,01139,Dresden,Handelsmarkt Dresden
01993,15907,Lübben (Spreewald),Handelsmarkt Lübben (Spreewald)
01994,15907,Lübben (Spreewald),Handelsmarkt Lübben (Spreewald)
01996,02625,Bautzen,Handelsmarkt Bautzen
